,loan_id,account_id,loan_date,amount,loan_duration,payments,loan_success,disp_id,disposition_type,account_frequency,account_creation,account_district code ,account_district region,account_district no. of inhabitants,account_district no. of municipalities with inhabitants < 499 ,account_district no. of municipalities with inhabitants 500-1999,account_district no. of municipalities with inhabitants 2000-9999 ,account_district no. of municipalities with inhabitants >10000 ,account_district no. of cities ,account_district ratio of urban inhabitants ,account_district average salary ,account_district unemploymant rate '95 ,account_district unemploymant rate '96 ,account_district no. of enterpreneurs per 1000 inhabitants ,account_district no. of commited crimes '95 ,account_district no. of commited crimes '96 ,age,women,birthday,client_district code ,client_district region,client_district no. of inhabitants,client_district no. of municipalities with inhabitants < 499 ,client_district no. of municipalities with inhabitants 500-1999,client_district no. of municipalities with inhabitants 2000-9999 ,client_district no. of municipalities with inhabitants >10000 ,client_district no. of cities ,client_district ratio of urban inhabitants ,client_district average salary ,client_district unemploymant rate '95 ,client_district unemploymant rate '96 ,client_district no. of enterpreneurs per 1000 inhabitants ,client_district no. of commited crimes '95 ,client_district no. of commited crimes '96 
95,6738,8566,940929,230220,36,6395,-1,10258,OWNER,monthly issuance,931008,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,56,True,421109,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
96,6624,7965,940930,71460,12,5955,1,9536,OWNER,monthly issuance,931108,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,53,False,450803,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
97,6216,5952,940930,141240,24,5885,1,7195,OWNER,monthly issuance,930907,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,36,False,620911,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134
98,6229,6040,941002,11736,24,489,1,7299,OWNER,monthly issuance,930422,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,60,False,380916,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
99,5887,4448,941003,192744,36,5354,1,5366,OWNER,monthly issuance,930602,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,27,True,710920,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
100,6808,8982,941012,227880,36,6330,1,10755,OWNER,monthly issuance,930925,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,43,True,551104,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
101,6297,6363,941025,17508,12,1459,1,7683,OWNER,monthly issuance,930801,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,52,False,460401,12,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868
102,5161,1012,941028,98184,24,4091,1,1216,OWNER,monthly issuance,940709,65,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,53,True,450612,65,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718
103,5390,2167,941030,170256,24,7094,1,2623,OWNER,monthly issuance,930808,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,33,True,650716,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913
104,6150,5622,941102,83016,12,6918,1,6789,OWNER,monthly issuance,930208,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,19,False,790326,57,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651
105,6223,5991,941103,61056,48,1272,1,7241,OWNER,monthly issuance,931121,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,41,True,570906,57,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651
106,5032,290,941103,123696,48,2577,1,352,OWNER,monthly issuance,931202,56,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158,58,False,400827,56,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158
107,6253,6148,941104,59760,24,2490,1,7422,OWNER,monthly issuance,931227,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,40,False,581126,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
108,6460,7133,941106,48672,36,1352,1,8610,OWNER,monthly issuance,930917,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,50,True,480502,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
109,6645,8041,941106,140400,36,3900,1,9625,OWNER,monthly issuance,931010,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,57,False,411015,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
110,5176,1106,941112,192552,24,8023,-1,1327,OWNER,weekly issuance,930829,20,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,35,True,631231,20,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542
111,5269,1527,941119,164052,36,4557,-1,1851,OWNER,issuance after transaction,931117,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,23,True,750912,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
112,5351,1978,941204,205200,36,5700,1,2403,OWNER,weekly issuance,930611,57,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,35,True,630125,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
113,5861,4337,941208,51408,24,2142,1,5224,OWNER,monthly issuance,931116,29,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,49,False,490724,29,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888
114,5450,2345,941211,199680,60,3328,1,2834,OWNER,monthly issuance,931025,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,49,False,490523,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
115,7142,10451,941219,482940,60,8049,-1,12551,OWNER,monthly issuance,930829,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,22,True,760521,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
116,6306,6425,941220,36684,12,3057,1,7753,OWNER,monthly issuance,930329,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,20,True,780923,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
117,6272,6226,941220,398640,60,6644,1,7521,OWNER,weekly issuance,930726,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,38,True,600209,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
118,5044,344,941221,100980,60,1683,1,421,OWNER,monthly issuance,931201,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,33,False,650731,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
119,5576,2962,941221,31248,12,2604,1,3576,OWNER,monthly issuance,930530,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,59,True,390315,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
120,7192,10738,941221,115992,36,3222,1,12893,OWNER,weekly issuance,930417,45,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,61,False,370517,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
121,5739,3747,950102,76380,12,6365,1,4520,OWNER,monthly issuance,940501,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,41,True,570628,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
122,6526,7523,950103,288468,36,8013,1,9008,OWNER,monthly issuance,940829,63,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,40,True,581026,63,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
123,5624,3166,950103,177744,48,3703,-1,3829,OWNER,monthly issuance,930810,71,north Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595,26,False,720313,59,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305
124,6244,6118,950108,270648,36,7518,-1,7390,OWNER,weekly issuance,940307,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,61,False,371104,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
125,5131,816,950108,48624,24,2026,1,980,OWNER,monthly issuance,930805,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,37,False,610930,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872
126,6960,9640,950111,76416,24,3184,1,11558,OWNER,monthly issuance,930313,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,61,False,370902,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
127,6358,6715,950114,137880,60,2298,-1,8105,OWNER,weekly issuance,930915,48,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717,35,False,630312,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208
128,5418,2245,950116,347952,48,7249,1,2719,OWNER,monthly issuance,930330,29,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,34,True,641030,29,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888
129,6598,7857,950118,68112,12,5676,1,9407,OWNER,monthly issuance,930804,75,north Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505,21,True,771130,35,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620
130,5464,2419,950130,95808,12,7984,1,2922,OWNER,monthly issuance,931127,24,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,58,False,400907,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891
131,6591,7819,950202,20832,48,434,1,9362,OWNER,monthly issuance,930801,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,50,False,480504,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822
132,5724,3678,950205,316140,60,5269,-1,4433,OWNER,monthly issuance,930324,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,30,False,680222,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
133,6315,6472,950206,43164,12,3597,1,7814,OWNER,monthly issuance,940208,61,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059,22,True,760106,61,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059
134,5876,4413,950208,221280,48,4610,1,5318,OWNER,weekly issuance,940115,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,30,False,680328,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
135,6986,9750,950211,151728,48,3161,-1,11695,OWNER,monthly issuance,940516,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,22,False,760623,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
136,6294,6353,950212,79920,60,1332,1,7672,OWNER,monthly issuance,931126,26,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261,45,False,530405,26,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261
137,5132,817,950217,538500,60,8975,1,981,OWNER,monthly issuance,940318,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,38,False,600628,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
138,5877,4414,950223,97224,24,4051,1,5320,OWNER,monthly issuance,930910,24,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,47,True,510407,17,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181
139,6227,6030,950304,28248,24,1177,1,7286,OWNER,monthly issuance,930824,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,28,True,700210,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410
140,7241,11021,950304,168984,24,7041,-1,13240,OWNER,monthly issuance,930810,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,22,False,760318,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
141,6737,8564,950311,76680,24,3195,1,10255,OWNER,monthly issuance,930912,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,49,False,490107,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
142,7004,9869,950315,331560,60,5526,1,11836,OWNER,monthly issuance,930821,12,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,18,False,801123,2,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674
143,6169,5700,950316,103680,60,1728,-1,6895,OWNER,monthly issuance,930720,42,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668,27,False,710624,42,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668
144,5208,1247,950316,99696,48,2077,-1,1505,OWNER,monthly issuance,930608,25,west Bohemia,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822,2218,27,True,710625,65,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718
145,6694,8316,950319,134784,24,5616,1,9961,OWNER,monthly issuance,940604,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,58,True,400511,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
146,5599,3064,950321,15420,12,1285,1,3705,OWNER,monthly issuance,930523,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,33,True,650604,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
147,6546,7607,950327,31728,24,1322,1,9110,OWNER,monthly issuance,930905,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,48,False,500410,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
148,5414,2228,950329,185952,48,3874,1,2700,OWNER,monthly issuance,940319,34,north Bohemia,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323,5190,53,False,450222,34,north Bohemia,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323,5190
149,5453,2361,950401,156672,36,4352,1,2853,OWNER,monthly issuance,940225,28,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,42,True,560425,28,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525
150,5740,3752,950402,18564,12,1547,1,4527,OWNER,monthly issuance,941125,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,35,True,630204,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
151,5804,4079,950405,158976,48,3312,1,4916,OWNER,monthly issuance,931103,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,59,False,390109,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
152,6745,8625,950410,47304,24,1971,1,10328,OWNER,monthly issuance,931110,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,27,False,710803,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
153,6950,9591,950411,104712,24,4363,1,11496,OWNER,monthly issuance,930520,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,54,False,441212,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
154,6996,9828,950413,126600,24,5275,1,11787,OWNER,monthly issuance,930520,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,59,False,390227,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410
155,5352,1993,950415,68400,12,5700,-1,2422,OWNER,monthly issuance,941030,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,22,True,760609,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
156,6151,5628,950425,225420,60,3757,1,6798,OWNER,monthly issuance,940617,61,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059,50,True,480803,61,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059
157,5310,1762,950428,248148,36,6893,1,2136,OWNER,monthly issuance,931211,28,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,58,True,400724,28,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525
158,5045,347,950501,187224,24,7801,-1,424,OWNER,monthly issuance,931213,65,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,51,False,471008,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
159,6929,9472,950508,36396,12,3033,1,11354,OWNER,weekly issuance,930706,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,26,False,720403,76,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807
160,5151,960,950524,189060,60,3151,1,1157,OWNER,issuance after transaction,941102,4,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892,40,True,581230,4,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892
161,5212,1256,950529,71064,36,1974,1,1516,OWNER,monthly issuance,940421,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,52,True,461017,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822
162,5138,854,950530,87216,48,1817,1,1029,OWNER,monthly issuance,930921,62,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,44,True,540316,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
163,5713,3629,950530,158760,60,2646,1,4377,OWNER,monthly issuance,930727,48,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717,20,False,780131,48,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717
164,6704,8377,950601,417060,60,6951,1,10042,OWNER,monthly issuance,931120,29,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,37,True,610914,29,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888
165,6474,7190,950606,63360,60,1056,1,8677,OWNER,monthly issuance,930906,49,east Bohemia,75685,31,28,5,1,9,60.8,8208,1.89,2.26,155,1660,2123,43,False,550814,49,east Bohemia,75685,31,28,5,1,9,60.8,8208,1.89,2.26,155,1660,2123
166,6676,8159,950613,29784,24,1241,1,9768,OWNER,monthly issuance,950208,26,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261,29,True,691225,26,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261
167,6965,9656,950613,139536,24,5814,1,11578,OWNER,monthly issuance,931114,61,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059,57,True,410913,61,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059
168,6725,8489,950623,265320,36,7370,1,10167,OWNER,monthly issuance,930918,19,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,50,True,480828,51,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839
169,7166,10630,950624,198240,24,8260,1,12763,OWNER,monthly issuance,950115,41,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471,42,False,560218,41,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471
170,7138,10440,950703,60000,60,1000,1,12536,OWNER,monthly issuance,930913,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,52,False,461015,45,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122
171,5970,4774,950709,465072,48,9689,1,5760,OWNER,monthly issuance,940114,66,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,50,False,480508,66,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103
172,6157,5650,950710,98592,24,4108,1,6829,OWNER,issuance after transaction,950108,10,central Bohemia,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316,35,True,631224,10,central Bohemia,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316
173,6153,5632,950725,285600,60,4760,1,6803,OWNER,weekly issuance,941115,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,18,True,801207,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
174,5693,3489,950801,44088,24,1837,1,4217,OWNER,monthly issuance,941208,9,central Bohemia,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487,47,True,510625,9,central Bohemia,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487
175,5922,4580,950805,20220,12,1685,1,5521,OWNER,monthly issuance,940827,9,central Bohemia,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487,25,True,730515,9,central Bohemia,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487
176,5959,4727,950811,107640,24,4485,1,5701,OWNER,monthly issuance,950213,2,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674,39,True,591122,2,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674
177,5980,4825,950818,21396,12,1783,1,5826,OWNER,monthly issuance,940604,15,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,30,False,680909,15,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879
178,6764,8776,950826,33984,48,708,1,10510,OWNER,monthly issuance,940824,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,26,False,720804,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
179,5237,1375,950829,45336,24,1889,1,1663,OWNER,monthly issuance,940427,19,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,41,False,570429,19,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099
180,6726,8492,950903,85860,60,1431,1,10171,OWNER,monthly issuance,940629,2,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674,43,True,551020,2,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674
181,6933,9493,950909,188688,48,3931,1,11377,OWNER,monthly issuance,950402,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,33,True,650723,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
182,5145,915,950916,309552,48,6449,1,1102,OWNER,monthly issuance,950118,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,63,False,350129,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208
183,7008,9897,950922,36168,12,3014,1,11873,OWNER,monthly issuance,950304,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,37,False,610819,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
184,7227,10942,951002,314520,60,5242,1,13143,OWNER,weekly issuance,940605,44,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325,43,True,551118,44,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325
185,6600,7861,951008,21852,36,607,1,9413,OWNER,monthly issuance,950422,34,north Bohemia,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323,5190,44,False,541205,34,north Bohemia,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323,5190
186,6712,8405,951014,266220,60,4437,1,10074,OWNER,monthly issuance,940510,20,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,33,True,650217,20,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542
187,7057,10093,951020,231696,36,6436,1,12108,OWNER,weekly issuance,940701,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,25,False,730530,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
188,7176,10663,951028,260028,36,7223,1,12805,OWNER,monthly issuance,931208,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,22,False,761125,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529
189,7304,11349,951029,419880,60,6998,1,13647,OWNER,weekly issuance,950526,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,53,True,451030,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
190,6362,6738,951031,37908,12,3159,1,8130,OWNER,monthly issuance,940728,62,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,22,True,760508,62,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906
191,5880,4423,951031,73836,36,2051,1,5333,OWNER,monthly issuance,950426,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,31,True,670529,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743
192,6535,7546,951102,41952,12,3496,1,9038,OWNER,monthly issuance,940903,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,26,False,721210,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891
193,5449,2343,951104,99336,24,4139,1,2831,OWNER,monthly issuance,941209,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,18,True,800709,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
194,6342,6609,951112,60156,36,1671,-1,7980,OWNER,monthly issuance,950327,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,22,False,760808,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913
