,disp_id,account_id,disposition_type,account_frequency,account_creation,account_district code ,account_district region,account_district no. of inhabitants,account_district no. of municipalities with inhabitants < 499 ,account_district no. of municipalities with inhabitants 500-1999,account_district no. of municipalities with inhabitants 2000-9999 ,account_district no. of municipalities with inhabitants >10000 ,account_district no. of cities ,account_district ratio of urban inhabitants ,account_district average salary ,account_district unemploymant rate '95 ,account_district unemploymant rate '96 ,account_district no. of enterpreneurs per 1000 inhabitants ,account_district no. of commited crimes '95 ,account_district no. of commited crimes '96 ,age,women,birthday,client_district code ,client_district region,client_district no. of inhabitants,client_district no. of municipalities with inhabitants < 499 ,client_district no. of municipalities with inhabitants 500-1999,client_district no. of municipalities with inhabitants 2000-9999 ,client_district no. of municipalities with inhabitants >10000 ,client_district no. of cities ,client_district ratio of urban inhabitants ,client_district average salary ,client_district unemploymant rate '95 ,client_district unemploymant rate '96 ,client_district no. of enterpreneurs per 1000 inhabitants ,client_district no. of commited crimes '95 ,client_district no. of commited crimes '96 
1447,1528,1266,OWNER,monthly issuance,960701,57,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,34,False,640320,57,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651
1448,1529,1267,OWNER,monthly issuance,960805,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,26,True,720620,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891
1449,1530,1268,OWNER,monthly issuance,930725,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,53,True,450806,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
1450,1531,1269,OWNER,monthly issuance,940328,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,38,True,600628,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
1452,1533,1270,OWNER,issuance after transaction,960607,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,38,False,601222,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
1453,1534,1271,OWNER,monthly issuance,960618,17,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181,46,True,521222,17,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181
1454,1535,1272,OWNER,weekly issuance,930525,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,62,False,361028,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872
1455,1536,1273,OWNER,monthly issuance,940325,37,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,31,True,671013,37,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166
1456,1537,1274,OWNER,weekly issuance,960819,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,19,False,791207,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
1457,1539,1275,OWNER,monthly issuance,960626,32,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505,75,False,231119,32,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505
1458,1540,1276,OWNER,monthly issuance,930107,36,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,61,False,371107,36,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132
1460,1542,1277,OWNER,monthly issuance,930620,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,79,False,191208,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
1462,1546,1279,OWNER,monthly issuance,971013,28,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,68,False,300413,28,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525
1464,1548,1280,OWNER,monthly issuance,950503,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,75,False,230304,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
1466,1550,1281,OWNER,monthly issuance,970414,8,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987,52,True,461121,8,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987
1467,1554,1284,OWNER,monthly issuance,970702,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,54,False,441215,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
1468,1555,1285,OWNER,monthly issuance,930604,65,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,48,False,500914,30,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804
1469,1556,1286,OWNER,issuance after transaction,931123,66,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,48,False,500402,66,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103
1470,1557,1287,OWNER,monthly issuance,950304,35,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620,39,True,591214,35,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620
1471,1558,1288,OWNER,monthly issuance,931127,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,71,True,270125,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529
1472,1559,1289,OWNER,monthly issuance,960707,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,58,False,401020,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208
1473,1561,1291,OWNER,monthly issuance,940704,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,75,True,230916,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1475,1563,1292,OWNER,monthly issuance,940903,3,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813,20,False,780806,3,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813
1476,1564,1293,OWNER,monthly issuance,960903,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,51,True,470625,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872
1477,1565,1294,OWNER,monthly issuance,941127,71,north Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595,38,False,600519,71,north Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595
1478,1566,1295,OWNER,monthly issuance,941028,15,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,32,True,661020,15,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879
1479,1567,1296,OWNER,monthly issuance,961202,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,68,False,300419,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134
1481,1569,1297,OWNER,monthly issuance,930727,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,42,True,560717,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
1483,1571,1298,OWNER,monthly issuance,960120,7,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,31,True,671015,7,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846
1484,1572,1299,OWNER,monthly issuance,930621,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,35,True,631212,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1485,1574,1301,OWNER,monthly issuance,940915,18,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,19,False,790218,18,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
1486,1575,1302,OWNER,monthly issuance,931121,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,75,True,231006,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
1488,1577,1303,OWNER,monthly issuance,970908,23,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198,54,False,440419,23,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198
1489,1578,1304,OWNER,monthly issuance,960427,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,27,True,710815,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872
1490,1579,1305,OWNER,monthly issuance,930825,57,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,35,False,631013,27,west Bohemia,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127
1491,1580,1306,OWNER,monthly issuance,950322,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,30,True,680618,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1492,1581,1307,OWNER,monthly issuance,941205,56,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158,35,True,630415,56,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158
1493,1582,1308,OWNER,monthly issuance,960925,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,64,False,340214,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
1494,1583,1309,OWNER,monthly issuance,950415,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,26,True,720108,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1495,1584,1310,OWNER,monthly issuance,960222,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,36,True,620129,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1496,1585,1311,OWNER,monthly issuance,960103,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,63,False,350720,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
1498,1587,1312,OWNER,monthly issuance,941015,23,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198,70,False,280505,23,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198
1499,1588,1313,OWNER,monthly issuance,971001,45,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,48,False,501029,45,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122
1500,1589,1314,OWNER,monthly issuance,931203,48,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717,47,True,511127,48,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717
1501,1590,1315,OWNER,monthly issuance,950417,13,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,58,True,400810,13,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875
1502,1591,1316,OWNER,monthly issuance,961213,42,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668,45,True,530707,42,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668
1503,1592,1317,OWNER,monthly issuance,940218,56,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158,70,False,280411,56,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158
1505,1594,1318,OWNER,monthly issuance,971222,56,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158,59,False,390929,56,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158
1506,1595,1319,OWNER,issuance after transaction,970808,56,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158,44,True,541216,56,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158
1507,1596,1320,OWNER,monthly issuance,961118,58,south Moravia,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471,20,True,781022,58,south Moravia,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471
1508,1597,1321,OWNER,monthly issuance,970327,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,42,False,560510,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
1509,1598,1322,OWNER,monthly issuance,930705,17,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181,73,False,250425,67,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079
1510,1599,1323,OWNER,monthly issuance,960520,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,34,False,641008,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891
1512,1601,1324,OWNER,monthly issuance,961105,42,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668,29,True,690329,42,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668
1514,1603,1325,OWNER,monthly issuance,960808,26,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261,30,False,680827,26,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261
1516,1605,1326,OWNER,monthly issuance,961111,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,18,True,800921,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
1517,1606,1327,OWNER,monthly issuance,940824,65,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,16,False,820902,65,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718
1518,1607,1328,OWNER,monthly issuance,960504,8,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987,57,True,410526,8,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987
1519,1608,1329,OWNER,monthly issuance,960916,53,south Moravia,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903,57,False,411111,53,south Moravia,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903
1521,1610,1330,OWNER,monthly issuance,961022,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,56,True,420423,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
1522,1611,1331,OWNER,monthly issuance,950103,59,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,35,True,631202,59,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305
1524,1613,1332,OWNER,monthly issuance,930325,59,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,37,False,610115,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134
1525,1614,1333,OWNER,monthly issuance,940929,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,60,False,380518,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354
1526,1615,1334,OWNER,monthly issuance,930514,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,46,True,520428,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
1527,1616,1335,OWNER,monthly issuance,950921,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,60,False,380523,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
1528,1617,1336,OWNER,monthly issuance,970226,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,48,True,500430,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
1529,1618,1337,OWNER,monthly issuance,930901,23,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198,19,True,791207,17,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181
1530,1619,1338,OWNER,monthly issuance,930111,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,56,True,420127,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
1532,1621,1339,OWNER,monthly issuance,970706,76,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,46,True,520405,76,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807
1533,1622,1340,OWNER,monthly issuance,971028,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,48,False,501012,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
1534,1623,1341,OWNER,monthly issuance,951121,36,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,35,False,630709,36,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132
1535,1624,1342,OWNER,monthly issuance,971009,9,central Bohemia,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487,33,False,650910,9,central Bohemia,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487
1537,1628,1344,OWNER,issuance after transaction,950716,12,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,41,True,570325,12,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868
1538,1629,1345,OWNER,monthly issuance,931019,28,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,32,False,660901,28,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525
1540,1631,1346,OWNER,monthly issuance,970701,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,22,False,760430,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
1541,1632,1347,OWNER,monthly issuance,961124,8,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987,55,True,430220,8,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987
1542,1633,1348,OWNER,monthly issuance,971112,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,26,True,720828,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
1544,1635,1349,OWNER,monthly issuance,960305,75,north Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505,68,True,300902,75,north Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505
1546,1637,1350,OWNER,weekly issuance,960825,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,55,False,431020,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354
1547,1638,1351,OWNER,monthly issuance,960329,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,44,True,540130,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872
1548,1639,1352,OWNER,monthly issuance,940923,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,39,True,590501,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1549,1640,1353,OWNER,monthly issuance,940421,51,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,45,True,530613,51,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839
1550,1641,1354,OWNER,monthly issuance,970621,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,75,True,230128,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
1551,1642,1355,OWNER,monthly issuance,970816,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,39,True,591010,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1552,1643,1356,OWNER,monthly issuance,970201,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,22,True,760417,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743
1553,1644,1357,OWNER,monthly issuance,951120,56,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158,22,False,760606,56,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158
1554,1645,1358,OWNER,monthly issuance,960421,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,37,True,610310,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743
1555,1646,1359,OWNER,monthly issuance,931202,8,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987,32,False,660317,8,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987
1556,1647,1360,OWNER,monthly issuance,940814,71,north Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595,20,True,780326,71,north Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595
1557,1648,1361,OWNER,monthly issuance,961209,46,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,46,False,520312,46,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618
1559,1650,1362,OWNER,monthly issuance,961219,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,45,False,530329,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1560,1651,1363,OWNER,monthly issuance,970323,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,32,True,660710,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529
1561,1653,1365,OWNER,monthly issuance,960315,42,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668,54,False,440619,42,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668
1562,1654,1366,OWNER,monthly issuance,930224,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,35,False,631208,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
1563,1655,1367,OWNER,monthly issuance,960820,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,26,False,720204,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
1564,1656,1368,OWNER,monthly issuance,961212,22,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117,30,True,680618,22,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117
1565,1657,1369,OWNER,monthly issuance,960323,32,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505,63,False,351002,32,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505
1566,1658,1370,OWNER,monthly issuance,960925,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,69,True,290821,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
1567,1659,1371,OWNER,monthly issuance,940427,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,61,True,371215,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1568,1660,1372,OWNER,monthly issuance,930316,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,16,True,821211,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1569,1661,1373,OWNER,monthly issuance,930612,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,45,True,530416,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410
1570,1662,1374,OWNER,monthly issuance,960926,53,south Moravia,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903,31,False,670907,53,south Moravia,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903
1571,1663,1375,OWNER,monthly issuance,940427,19,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,41,False,570429,19,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099
1572,1664,1376,OWNER,monthly issuance,950920,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,80,True,181110,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
1574,1666,1377,OWNER,monthly issuance,960925,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,57,False,410831,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1576,1668,1378,OWNER,monthly issuance,930304,59,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,49,True,490817,20,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542
1577,1669,1379,OWNER,monthly issuance,971001,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,46,False,521025,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410
1578,1670,1380,OWNER,monthly issuance,960219,53,south Moravia,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903,37,False,610507,53,south Moravia,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903
1579,1671,1381,OWNER,monthly issuance,931101,57,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,67,True,310915,57,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651
1581,1673,1382,OWNER,monthly issuance,930803,48,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717,26,False,720709,48,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717
1582,1674,1383,OWNER,monthly issuance,960415,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,78,True,201027,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529
1583,1675,1384,OWNER,weekly issuance,960328,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,58,False,400215,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
