,disp_id,account_id,disposition_type,account_frequency,account_creation,account_district region,account_district no. of inhabitants,account_district no. of municipalities with inhabitants < 499 ,account_district no. of municipalities with inhabitants 500-1999,account_district no. of municipalities with inhabitants 2000-9999 ,account_district no. of municipalities with inhabitants >10000 ,account_district no. of cities ,account_district ratio of urban inhabitants ,account_district average salary ,account_district unemploymant rate '95 ,account_district unemploymant rate '96 ,account_district no. of enterpreneurs per 1000 inhabitants ,account_district no. of commited crimes '95 ,account_district no. of commited crimes '96 ,age,women,birthday,region,client_district no. of inhabitants,client_district no. of municipalities with inhabitants < 499 ,client_district no. of municipalities with inhabitants 500-1999,client_district no. of municipalities with inhabitants 2000-9999 ,client_district no. of municipalities with inhabitants >10000 ,client_district no. of cities ,client_district ratio of urban inhabitants ,client_district average salary ,client_district unemploymant rate '95 ,client_district unemploymant rate '96 ,client_district no. of enterpreneurs per 1000 inhabitants ,client_district no. of commited crimes '95 ,client_district no. of commited crimes '96 
1654,1754,1446,OWNER,monthly issuance,950118,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,19,False,790529,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651
1655,1755,1447,OWNER,monthly issuance,970220,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,33,True,650818,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718
1656,1756,1448,OWNER,monthly issuance,951007,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,62,False,360708,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1657,1757,1448,DISPONENT,monthly issuance,951007,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,61,True,370930,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1658,1758,1449,OWNER,monthly issuance,930826,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620,51,False,471113,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620
1659,1759,1450,OWNER,monthly issuance,960407,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,75,True,230116,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
1660,1760,1451,OWNER,monthly issuance,930624,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,75,False,230307,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590
1661,1761,1452,OWNER,monthly issuance,950916,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,50,False,480423,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122
1662,1762,1453,OWNER,weekly issuance,930925,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059,42,False,561230,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059
1663,1763,1454,OWNER,monthly issuance,970725,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,31,False,671207,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618
1664,1764,1455,OWNER,monthly issuance,960103,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,27,False,710709,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103
1665,1765,1456,OWNER,monthly issuance,960412,central Bohemia,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487,23,False,750803,central Bohemia,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487
1666,1768,1458,OWNER,monthly issuance,940103,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,47,False,510427,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888
1667,1769,1459,OWNER,monthly issuance,970326,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,49,False,490805,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868
1668,1770,1459,DISPONENT,monthly issuance,970326,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,47,True,511015,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868
1669,1771,1460,OWNER,monthly issuance,961129,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,71,True,271020,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
1670,1772,1461,OWNER,monthly issuance,960407,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,19,True,790921,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433
1671,1774,1463,OWNER,monthly issuance,960925,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505,27,True,711005,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505
1672,1775,1464,OWNER,monthly issuance,961021,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,55,False,431208,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433
1673,1776,1465,OWNER,monthly issuance,950608,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,44,True,541024,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804
1674,1777,1466,OWNER,weekly issuance,970326,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358,35,True,630108,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358
1675,1778,1466,DISPONENT,weekly issuance,970326,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358,30,False,680902,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358
1676,1779,1467,OWNER,monthly issuance,940427,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,63,False,351126,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166
1677,1780,1468,OWNER,monthly issuance,931011,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,44,True,541209,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
1678,1781,1469,OWNER,monthly issuance,951215,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,74,False,240816,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079
1679,1782,1470,OWNER,monthly issuance,940210,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,50,False,481224,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099
1680,1783,1471,OWNER,monthly issuance,960721,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,52,True,461005,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1681,1784,1472,OWNER,monthly issuance,950720,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674,18,True,801102,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674
1682,1785,1473,OWNER,monthly issuance,960416,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,23,False,751125,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743
1683,1786,1474,OWNER,monthly issuance,960914,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,64,True,340625,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
1684,1787,1474,DISPONENT,monthly issuance,960914,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,67,False,311128,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
1685,1788,1475,OWNER,weekly issuance,930614,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,48,False,500323,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1686,1789,1476,OWNER,monthly issuance,930426,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059,65,True,330807,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059
1687,1790,1477,OWNER,monthly issuance,930208,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,45,False,530528,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1688,1791,1478,OWNER,monthly issuance,961030,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,32,True,660512,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
1689,1792,1479,OWNER,monthly issuance,950404,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,23,False,750901,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
1690,1793,1480,OWNER,weekly issuance,960703,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471,53,True,450317,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471
1691,1794,1481,OWNER,monthly issuance,930117,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,58,True,400330,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
1692,1795,1482,OWNER,monthly issuance,961208,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,38,True,600228,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822
1693,1796,1483,OWNER,monthly issuance,960109,central Bohemia,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316,60,False,381123,central Bohemia,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316
1694,1797,1483,DISPONENT,monthly issuance,960109,central Bohemia,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316,57,True,411104,central Bohemia,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316
1695,1798,1484,OWNER,monthly issuance,960923,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,65,False,330708,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
1696,1799,1485,OWNER,monthly issuance,931003,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,39,False,590626,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132
1697,1800,1486,OWNER,monthly issuance,960115,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,55,True,430928,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
1698,1801,1487,OWNER,monthly issuance,930910,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,28,False,700101,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103
1699,1802,1487,DISPONENT,monthly issuance,930910,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,34,True,641016,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103
1700,1803,1488,OWNER,monthly issuance,970429,west Bohemia,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822,2218,52,True,460512,west Bohemia,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822,2218
1701,1806,1490,OWNER,monthly issuance,960725,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,46,False,520103,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
1702,1807,1491,OWNER,monthly issuance,970611,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,63,False,350630,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410
1703,1808,1491,DISPONENT,monthly issuance,970611,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,65,True,330626,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410
1704,1809,1492,OWNER,monthly issuance,961017,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,67,False,310512,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273
1705,1810,1493,OWNER,monthly issuance,930109,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471,79,False,190630,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471
1706,1811,1494,OWNER,monthly issuance,971008,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,59,False,390329,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1707,1812,1495,OWNER,monthly issuance,931101,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,51,True,470517,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132
1708,1813,1495,DISPONENT,monthly issuance,931101,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,49,False,490928,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132
1709,1814,1496,OWNER,monthly issuance,950205,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,58,False,400312,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651
1710,1815,1497,OWNER,monthly issuance,930716,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,21,True,770224,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913
1711,1816,1498,OWNER,weekly issuance,970207,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,47,False,510724,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906
1712,1817,1499,OWNER,monthly issuance,931128,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,45,True,531206,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410
1713,1818,1499,DISPONENT,monthly issuance,931128,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,42,False,561002,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410
1714,1819,1500,OWNER,monthly issuance,961001,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,19,True,790420,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891
1715,1820,1501,OWNER,monthly issuance,960811,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,70,True,281120,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134
1716,1821,1502,OWNER,monthly issuance,961002,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,57,False,410424,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1717,1822,1503,OWNER,monthly issuance,960410,north Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595,76,True,220913,north Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595
1718,1823,1504,OWNER,monthly issuance,960826,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,20,True,780807,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1719,1824,1505,OWNER,monthly issuance,930423,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358,38,False,600803,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358
1720,1825,1506,OWNER,monthly issuance,971013,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,24,True,740424,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839
1721,1826,1507,OWNER,monthly issuance,930803,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620,61,False,370912,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875
1722,1827,1507,DISPONENT,monthly issuance,930803,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620,57,True,410816,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875
1723,1828,1508,OWNER,monthly issuance,960122,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358,36,False,621114,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358
1724,1829,1509,OWNER,monthly issuance,940519,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,56,True,420816,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839
1725,1830,1510,OWNER,monthly issuance,960311,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859,46,False,520203,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859
1726,1831,1511,OWNER,issuance after transaction,940313,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,22,False,761009,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839
1727,1832,1512,OWNER,monthly issuance,940108,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,32,True,660731,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1728,1833,1513,OWNER,monthly issuance,930823,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,32,False,661115,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804
1729,1834,1514,OWNER,monthly issuance,970701,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,71,False,270219,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846
1730,1835,1514,DISPONENT,monthly issuance,970701,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,70,True,280311,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846
1731,1836,1515,OWNER,monthly issuance,930611,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,54,True,440307,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132
1732,1837,1516,OWNER,monthly issuance,931008,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,41,False,570113,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079
1733,1838,1516,DISPONENT,monthly issuance,931008,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,39,True,591127,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079
1734,1839,1517,OWNER,monthly issuance,960824,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,62,True,361218,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
1735,1840,1517,DISPONENT,monthly issuance,960824,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,63,False,351028,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
1736,1841,1518,OWNER,monthly issuance,930421,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,45,True,530323,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079
1737,1842,1519,OWNER,monthly issuance,950614,central Bohemia,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487,55,False,430913,central Bohemia,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487
1738,1843,1520,OWNER,monthly issuance,950808,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717,59,True,390125,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717
1739,1844,1521,OWNER,monthly issuance,960404,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,76,True,220203,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
1740,1845,1521,DISPONENT,monthly issuance,960404,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,80,False,181114,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
1741,1846,1522,OWNER,monthly issuance,970802,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717,18,False,801212,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717
1742,1847,1523,OWNER,issuance after transaction,971124,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,19,True,790130,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
1743,1848,1524,OWNER,monthly issuance,970220,central Bohemia,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640,3120,74,True,240702,central Bohemia,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640,3120
1744,1849,1525,OWNER,monthly issuance,960905,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,76,True,220924,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651
1745,1850,1526,OWNER,monthly issuance,950122,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,56,True,420705,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
1746,1851,1527,OWNER,issuance after transaction,931117,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,23,True,750912,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
1747,1852,1528,OWNER,monthly issuance,960608,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,36,False,620905,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134
1748,1853,1529,OWNER,monthly issuance,960428,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,33,False,650818,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1749,1854,1530,OWNER,monthly issuance,950527,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,66,True,320527,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
1750,1856,1532,OWNER,monthly issuance,960919,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,30,True,680822,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
1751,1857,1532,DISPONENT,monthly issuance,960919,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,34,False,640316,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
1752,1860,1534,OWNER,monthly issuance,930524,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,34,True,641031,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1753,1861,1535,OWNER,monthly issuance,930320,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,41,False,570715,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888
1754,1862,1536,OWNER,weekly issuance,930122,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471,21,True,771009,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134
1755,1863,1537,OWNER,monthly issuance,970606,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,46,False,520216,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
1756,1864,1538,OWNER,monthly issuance,960920,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117,50,False,480314,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117
1757,1865,1538,DISPONENT,monthly issuance,960920,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117,49,True,490609,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117
1758,1866,1539,OWNER,issuance after transaction,930103,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,56,True,420611,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
1759,1867,1540,OWNER,monthly issuance,950329,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,54,True,440924,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1760,1868,1541,OWNER,monthly issuance,961018,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,18,False,800216,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
1761,1869,1542,OWNER,monthly issuance,960425,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,65,True,330214,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1762,1870,1542,DISPONENT,monthly issuance,960425,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,63,False,350429,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1763,1871,1543,OWNER,monthly issuance,960414,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,18,True,800220,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1764,1872,1544,OWNER,monthly issuance,930714,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358,35,True,630124,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
1765,1873,1544,DISPONENT,monthly issuance,930714,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358,30,False,681026,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
1766,1874,1545,OWNER,monthly issuance,930308,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,52,False,461020,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1767,1875,1546,OWNER,monthly issuance,961120,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,22,False,761019,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879
1768,1876,1547,OWNER,monthly issuance,930914,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,47,False,510701,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1769,1877,1548,OWNER,monthly issuance,950127,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,41,True,570821,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410
